Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP30_H2_raw,SGP30_Ethanol_raw,Temperature,Humidity
12/02/25 10:31:45,0,400,14784,20481,0,0
12/02/25 10:31:46,0,400,14777,20474,0,0
12/02/25 10:31:47,0,400,14770,20479,0,0
12/02/25 10:31:48,0,400,14780,20481,0,0
