Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:52:48,27,400,33843,32236,16957,25.0187,60.8316
17/10/24 - 16:52:49,23,401,33835,32251,16953,25.0748,60.8911
17/10/24 - 16:52:50,21,401,33830,32241,16947,25.1015,60.8576
17/10/24 - 16:52:51,22,402,33855,32254,16954,25.0748,60.8621
17/10/24 - 16:52:52,16,400,33854,32253,16947,25.1015,60.8988
17/10/24 - 16:52:53,21,400,33851,32248,16946,25.032,60.8133
17/10/24 - 16:52:55,27,400,33851,32239,16950,25.0187,60.7996
17/10/24 - 16:52:56,23,400,33842,32255,16947,25.0881,60.8942
17/10/24 - 16:52:57,25,406,33843,32248,16946,25.0748,60.8087
17/10/24 - 16:52:58,14,400,33838,32252,16946,25.0614,60.9415
17/10/24 - 16:52:59,17,400,33843,32251,16948,25.0614,60.9003
17/10/24 - 16:53:00,24,402,33843,32250,16938,25.0614,60.9308
17/10/24 - 16:53:01,26,400,33854,32248,16947,25.032,60.8637
17/10/24 - 16:53:02,25,400,33851,32253,16937,25.0614,60.9628
17/10/24 - 16:53:03,24,400,33838,32244,16940,25.0454,60.9903
17/10/24 - 16:53:05,22,401,33847,32255,16945,25.032,61.0193
17/10/24 - 16:53:06,22,400,33831,32255,16941,25.0748,61.0773
17/10/24 - 16:53:07,21,400,33830,32248,16941,25.0187,60.9445
17/10/24 - 16:53:08,23,403,33843,32242,16935,25.0454,61.0224
17/10/24 - 16:53:09,21,402,33834,32243,16938,25.0748,61.0147
17/10/24 - 16:53:10,23,400,33839,32252,16934,25.0614,61.0544
17/10/24 - 16:53:11,29,406,33855,32251,16935,25.0614,60.9827
17/10/24 - 16:53:12,17,400,33850,32240,16931,25.0454,61.0224
17/10/24 - 16:53:13,23,400,33839,32239,16938,25.032,61.0605
17/10/24 - 16:53:15,21,400,33830,32246,16934,25.1015,61.0315
17/10/24 - 16:53:16,27,407,33847,32240,16930,25.0454,61.0315
17/10/24 - 16:53:17,19,400,33839,32243,16933,25.1015,61.0513
17/10/24 - 16:53:18,18,400,33834,32241,16932,25.1015,61.0925
17/10/24 - 16:53:19,21,400,33843,32228,16935,25.0881,61.0285
17/10/24 - 16:53:20,22,404,33850,32242,16925,25.0614,61.0239
17/10/24 - 16:53:21,23,400,33843,32231,16929,25.0748,60.9735
17/10/24 - 16:53:22,18,400,33835,32245,16927,25.0881,61.0376
17/10/24 - 16:53:23,25,404,33822,32252,16929,25.1015,60.9491
17/10/24 - 16:53:25,22,401,33831,32237,16931,25.1175,60.9537
17/10/24 - 16:53:26,32,400,33826,32241,16922,25.0454,60.9491
17/10/24 - 16:53:27,23,400,33835,32241,16929,25.0614,60.9628
17/10/24 - 16:53:28,29,400,33831,32235,16932,25.1175,60.9415
17/10/24 - 16:53:29,24,400,33846,32242,16925,25.0881,60.8347
17/10/24 - 16:53:30,26,400,33839,32243,16924,25.0614,60.8591
17/10/24 - 16:53:31,20,400,33842,32242,16927,25.0614,60.8896
17/10/24 - 16:53:32,25,400,33835,32241,16927,25.0614,60.9003
17/10/24 - 16:53:33,18,400,33831,32242,16929,25.032,60.8759
17/10/24 - 16:53:35,20,400,33846,32243,16924,25.0614,60.8682
17/10/24 - 16:53:36,24,400,33847,32235,16919,25.0614,60.8804
17/10/24 - 16:53:37,25,400,33842,32240,16920,25.0614,60.9003
17/10/24 - 16:53:38,20,400,33839,32237,16917,25.032,60.885
17/10/24 - 16:53:39,22,402,33847,32244,16919,25.0454,60.94
17/10/24 - 16:53:40,26,400,33858,32246,16927,25.0187,60.9552
17/10/24 - 16:53:41,19,400,33847,32244,16918,25.0454,60.8866
17/10/24 - 16:53:42,28,400,33838,32242,16916,25.0614,60.8591
17/10/24 - 16:53:43,21,400,33835,32245,16910,25.0454,60.9079
17/10/24 - 16:53:44,17,400,33847,32232,16917,25.0454,60.9277
17/10/24 - 16:53:46,20,409,33858,32233,16918,24.9866,60.8576
17/10/24 - 16:53:47,22,402,33839,32231,16911,25.0454,60.8576
17/10/24 - 16:53:48,15,400,33834,32236,16910,25.032,60.9674
17/10/24 - 16:53:49,18,400,33831,32235,16914,25.0027,60.8804
17/10/24 - 16:53:50,17,400,33835,32243,16917,25.0027,60.9415
17/10/24 - 16:53:51,24,400,33830,32233,16916,25.0614,60.9506
17/10/24 - 16:53:52,19,400,33835,32237,16918,25.032,60.9873
17/10/24 - 16:53:53,23,400,33838,32241,16904,25.0187,60.9445
17/10/24 - 16:53:54,23,400,33831,32243,16915,25.032,61.0086
17/10/24 - 16:53:56,19,400,33835,32241,16913,25.0027,60.9735
17/10/24 - 16:53:57,24,400,33834,32234,16910,25.0027,61.0361
17/10/24 - 16:53:58,24,400,33843,32222,16913,25.0187,60.9857
17/10/24 - 16:53:59,18,400,33838,32236,16912,25.0454,61.0101
17/10/24 - 16:54:00,17,400,33843,32235,16912,25.0027,60.9537
17/10/24 - 16:54:01,17,400,33855,32233,16907,24.9866,61.0513
17/10/24 - 16:54:02,13,400,33850,32233,16907,25.0614,61.0651
17/10/24 - 16:54:03,15,400,33855,32245,16892,25.0614,61.0544
17/10/24 - 16:54:04,16,400,33854,32229,16902,25.0187,61.059
17/10/24 - 16:54:06,19,405,33851,32239,16902,25.0454,61.1139
17/10/24 - 16:54:07,23,402,33847,32236,16905,25.0614,61.0452
17/10/24 - 16:54:08,24,400,33850,32242,16901,25.0187,60.9964
17/10/24 - 16:54:09,14,400,33847,32242,16900,25.0187,61.0468
17/10/24 - 16:54:10,21,400,33846,32248,16906,25.0187,61.0269
17/10/24 - 16:54:11,19,400,33839,32234,16909,25.0187,60.9857
17/10/24 - 16:54:12,17,402,33843,32224,16894,25.0454,60.9689
17/10/24 - 16:54:13,20,400,33834,32223,16898,25.0187,61.0056
17/10/24 - 16:54:14,18,400,33835,32232,16906,25.032,60.9781
17/10/24 - 16:54:16,11,400,33838,32240,16898,25.0187,60.9766
17/10/24 - 16:54:17,16,400,33847,32222,16902,25.0187,61.0178
17/10/24 - 16:54:18,16,400,33847,32229,16898,25.0027,61.004
17/10/24 - 16:54:19,18,400,33830,32228,16896,24.9866,60.9903
17/10/24 - 16:54:20,22,400,33835,32232,16894,24.9866,60.9995
17/10/24 - 16:54:21,18,400,33838,32231,16899,24.9599,61.0681
17/10/24 - 16:54:22,16,400,33843,32225,16897,24.9866,61.0193
17/10/24 - 16:54:23,15,400,33835,32232,16897,24.9172,61.0498
17/10/24 - 16:54:24,14,400,33842,32233,16895,24.9733,61.0498
17/10/24 - 16:54:26,13,400,33835,32241,16882,24.9733,61.0788
17/10/24 - 16:54:27,13,400,33838,32232,16891,24.9866,61.0925
17/10/24 - 16:54:28,16,400,33839,32229,16892,25.0027,61.0773
17/10/24 - 16:54:29,19,400,33847,32241,16889,25.0187,61.12
17/10/24 - 16:54:30,21,400,33838,32234,16891,25.032,61.1231
17/10/24 - 16:54:31,16,400,33839,32237,16888,25.0454,61.1139
17/10/24 - 16:54:32,19,400,33830,32234,16894,25.032,61.2146
17/10/24 - 16:54:33,18,400,33835,32244,16890,25.0614,61.1276
17/10/24 - 16:54:34,16,400,33827,32228,16891,25.0027,61.0651
17/10/24 - 16:54:36,15,400,33838,32244,16883,25.032,61.1521
17/10/24 - 16:54:37,17,400,33835,32233,16894,24.9866,61.1963
17/10/24 - 16:54:38,13,400,33834,32236,16894,25.032,61.0498
17/10/24 - 16:54:39,10,400,33831,32240,16890,25.1015,61.0925
17/10/24 - 16:54:40,24,400,33827,32239,16886,25.0454,61.0925
17/10/24 - 16:54:41,23,400,33842,32232,16891,25.032,61.0498
17/10/24 - 16:54:42,15,400,33835,32228,16886,25.0748,61.0559
17/10/24 - 16:54:43,18,400,33830,32235,16891,25.0454,61.0636
17/10/24 - 16:54:44,12,400,33831,32240,16884,25.0187,61.059
17/10/24 - 16:54:46,17,400,33843,32245,16889,25.0454,61.0513
17/10/24 - 16:54:47,17,400,33826,32228,16885,25.0881,61.0498
17/10/24 - 16:54:48,19,405,33831,32231,16877,25.032,61.0697
17/10/24 - 16:54:49,19,400,33826,32232,16879,25.0187,61.0178
17/10/24 - 16:54:50,14,400,33835,32235,16877,25.0454,61.0422
17/10/24 - 16:54:51,17,405,33823,32219,16882,25.0614,61.0544
17/10/24 - 16:54:52,15,400,33822,32219,16881,25.0748,61.0468
17/10/24 - 16:54:53,17,400,33831,32223,16882,25.0881,61.1002
17/10/24 - 16:54:54,22,400,33834,32227,16877,25.032,61.0407
17/10/24 - 16:54:55,18,400,33823,32219,16883,25.0748,61.0361
17/10/24 - 16:54:57,14,400,33827,32237,16887,25.0454,60.9598
17/10/24 - 16:54:58,18,400,33822,32228,16880,25.032,60.9995
17/10/24 - 16:54:59,12,400,33819,32229,16878,25.0614,60.9628
17/10/24 - 16:55:00,18,400,33814,32227,16869,25.0187,60.9445
17/10/24 - 16:55:01,13,400,33815,32224,16873,25.0614,60.9216
17/10/24 - 16:55:02,18,400,33815,32231,16879,25.0027,60.9125
17/10/24 - 16:55:03,10,400,33810,32225,16879,25.0614,60.9308
17/10/24 - 16:55:04,12,400,33819,32232,16874,25.032,60.9171
17/10/24 - 16:55:05,13,400,33826,32223,16884,25.0187,60.882
17/10/24 - 16:55:07,16,400,33831,32227,16870,25.0027,60.9216
17/10/24 - 16:55:08,25,400,33831,32220,16874,24.9733,60.8667
17/10/24 - 16:55:09,18,401,33814,32227,16875,24.9866,60.9094
17/10/24 - 16:55:10,13,400,33831,32239,16871,25.0027,60.9216
17/10/24 - 16:55:11,13,400,33826,32231,16875,24.9866,60.8896
17/10/24 - 16:55:12,10,400,33827,32233,16874,24.9866,60.94
17/10/24 - 16:55:13,13,400,33815,32225,16880,24.9733,60.9262
17/10/24 - 16:55:14,10,400,33822,32227,16871,24.9733,60.9873
17/10/24 - 16:55:15,13,400,33823,32229,16870,24.9306,60.9491
17/10/24 - 16:55:17,14,400,33814,32226,16873,24.9599,60.9949
17/10/24 - 16:55:18,18,400,33827,32222,16878,24.9866,61.1139
17/10/24 - 16:55:19,16,400,33827,32226,16869,24.9866,61.0819
17/10/24 - 16:55:20,17,400,33814,32204,16869,24.9466,61.1154
17/10/24 - 16:55:21,13,400,33819,32220,16870,24.9866,61.1643
17/10/24 - 16:55:22,9,400,33818,32219,16871,25.0187,61.2207
17/10/24 - 16:55:23,11,400,33819,32214,16873,25.0187,61.2116
17/10/24 - 16:55:24,15,400,33831,32214,16861,24.9866,61.2055
17/10/24 - 16:55:25,14,400,33826,32227,16855,25.0027,61.239
17/10/24 - 16:55:27,14,400,33835,32213,16859,24.9866,61.2161
17/10/24 - 16:55:28,12,400,33826,32217,16868,24.9866,61.2467
17/10/24 - 16:55:29,19,400,33823,32217,16866,25.0027,61.207
17/10/24 - 16:55:30,17,400,33823,32208,16864,24.9866,61.0727
17/10/24 - 16:55:31,12,400,33814,32209,16865,24.9306,61.1139
17/10/24 - 16:55:32,17,400,33827,32202,16867,24.9599,61.0681
17/10/24 - 16:55:33,14,400,33830,32200,16868,24.9172,61.2253
17/10/24 - 16:55:34,16,403,33831,32202,16863,24.9466,61.1566
17/10/24 - 16:55:35,15,400,33831,32201,16857,24.9733,61.1933
17/10/24 - 16:55:37,18,400,33826,32204,16865,24.9306,61.2375
17/10/24 - 16:55:38,15,400,33835,32198,16860,24.9733,61.2558
17/10/24 - 16:55:39,14,400,33838,32190,16869,24.9866,61.2573
17/10/24 - 16:55:40,17,400,33835,32199,16860,24.9733,61.2558
17/10/24 - 16:55:41,15,400,33835,32201,16857,24.9306,61.2161
17/10/24 - 16:55:42,9,400,33830,32196,16852,24.9306,61.2375
17/10/24 - 16:55:43,17,400,33823,32202,16855,24.9599,61.2329
17/10/24 - 16:55:44,12,400,33838,32200,16857,24.9306,61.2161
17/10/24 - 16:55:45,14,400,33835,32209,16860,24.9866,61.2253
17/10/24 - 16:55:46,13,400,33827,32204,16857,24.9306,61.2573
17/10/24 - 16:55:48,7,400,33830,32200,16858,24.9733,61.2238
17/10/24 - 16:55:49,5,400,33835,32207,16853,24.9306,61.2375
17/10/24 - 16:55:50,14,400,33842,32219,16859,24.9733,61.2024
17/10/24 - 16:55:51,14,400,33835,32207,16853,24.9866,61.2665
17/10/24 - 16:55:52,11,400,33847,32209,16855,24.9866,61.2665
17/10/24 - 16:55:53,14,400,33846,32196,16859,24.9466,61.178
17/10/24 - 16:55:54,14,400,33831,32209,16849,24.9866,61.2375
17/10/24 - 16:55:55,4,400,33818,32218,16845,24.9733,61.265
17/10/24 - 16:55:56,11,400,33835,32199,16846,24.9466,61.178
17/10/24 - 16:55:58,9,400,33847,32208,16853,24.9733,61.2345
17/10/24 - 16:55:59,12,400,33846,32204,16848,24.9466,61.239
17/10/24 - 16:56:00,17,400,33835,32208,16852,24.9866,61.2573
17/10/24 - 16:56:01,13,400,33830,32199,16852,24.9599,61.2009
17/10/24 - 16:56:02,9,400,33819,32207,16850,24.9866,61.1749
17/10/24 - 16:56:03,13,400,33835,32201,16852,25.032,61.2238
17/10/24 - 16:56:04,13,400,33834,32184,16850,24.9866,61.2467
17/10/24 - 16:56:05,10,400,33843,32202,16851,24.9866,61.2573
17/10/24 - 16:56:06,4,400,33838,32206,16843,24.9866,61.2573
17/10/24 - 16:56:08,12,400,33831,32193,16850,25.0027,61.1872
17/10/24 - 16:56:09,2,400,33827,32210,16847,24.9866,61.2375
17/10/24 - 16:56:10,4,400,33834,32219,16840,25.032,61.1322
17/10/24 - 16:56:11,12,400,33831,32196,16855,24.9866,61.1841
17/10/24 - 16:56:12,8,400,33826,32202,16841,25.0187,61.1704
17/10/24 - 16:56:13,0,400,33819,32204,16848,25.0187,61.1414
17/10/24 - 16:56:14,6,400,33831,32200,16843,24.9733,61.1322
17/10/24 - 16:56:15,11,400,33822,32196,16847,24.9733,61.2345
17/10/24 - 16:56:16,6,400,33831,32204,16841,25.0027,61.239
17/10/24 - 16:56:18,6,400,33830,32207,16845,24.9733,61.1612
17/10/24 - 16:56:19,5,400,33835,32184,16846,24.9866,61.1231
17/10/24 - 16:56:20,8,400,33843,32200,16850,24.9466,61.1154
17/10/24 - 16:56:21,9,400,33838,32207,16847,25.0187,61.1002
17/10/24 - 16:56:22,8,400,33823,32193,16842,25.0027,61.1368
17/10/24 - 16:56:23,0,400,33830,32204,16834,24.9866,61.1017
17/10/24 - 16:56:24,10,400,33835,32205,16840,24.9866,61.1017
17/10/24 - 16:56:25,8,400,33843,32194,16836,25.032,61.1322
17/10/24 - 16:56:26,12,400,33834,32208,16834,24.9866,61.1139
17/10/24 - 16:56:28,9,400,33839,32202,16844,25.032,61.0498
17/10/24 - 16:56:29,15,400,33830,32194,16838,25.0027,61.1185
17/10/24 - 16:56:30,10,400,33835,32197,16840,25.0187,61.0376
17/10/24 - 16:56:31,10,400,33835,32209,16837,25.0614,61.178
17/10/24 - 16:56:32,7,400,33842,32202,16830,25.0187,61.1093
17/10/24 - 16:56:33,10,400,33851,32188,16834,25.0748,61.1185
17/10/24 - 16:56:34,9,400,33850,32201,16835,25.0027,61.1185
17/10/24 - 16:56:35,13,400,33839,32198,16837,25.032,61.1429
17/10/24 - 16:56:36,7,400,33839,32200,16833,25.0614,61.1368
17/10/24 - 16:56:38,3,400,33842,32196,16832,25.0614,61.1368
17/10/24 - 16:56:39,12,400,33835,32190,16840,25.0748,61.1597
17/10/24 - 16:56:40,12,400,33838,32193,16831,25.0748,61.1093
17/10/24 - 16:56:41,10,400,33843,32191,16836,25.0614,61.0956
17/10/24 - 16:56:42,4,400,33839,32181,16830,25.0748,61.0559
17/10/24 - 16:56:43,14,400,33846,32182,16831,25.0881,61.1612
17/10/24 - 16:56:44,11,400,33843,32182,16837,25.0881,61.0498
17/10/24 - 16:56:45,5,400,33842,32175,16833,25.0454,61.0636
17/10/24 - 16:56:46,6,400,33839,32176,16828,25.0881,61.0788
17/10/24 - 16:56:48,7,400,33835,32173,16832,25.0748,61.0971
17/10/24 - 16:56:49,13,400,33826,32165,16824,25.0881,61.091
17/10/24 - 16:56:50,11,400,33819,32175,16827,25.0748,61.1597
17/10/24 - 16:56:51,8,400,33818,32167,16832,25.0881,61.0285
17/10/24 - 16:56:52,10,402,33815,32174,16826,25.0881,61.0697
17/10/24 - 16:56:53,8,400,33803,32161,16826,25.0614,61.0239
17/10/24 - 16:56:54,20,400,33810,32173,16836,25.0881,61.1322
17/10/24 - 16:56:55,4,400,33803,32161,16828,25.1442,61.1109
17/10/24 - 16:56:56,3,400,33806,32162,16831,25.0748,61.0773
17/10/24 - 16:56:58,4,400,33827,32160,16824,25.1175,61.1566
17/10/24 - 16:56:59,9,400,33831,32161,16820,25.1442,61.1017
17/10/24 - 16:57:00,8,400,33818,32167,16819,25.1015,61.1139
17/10/24 - 16:57:01,5,400,33803,32153,16815,25.1015,61.1337
17/10/24 - 16:57:02,1,400,33798,32147,16818,25.1175,61.0559
17/10/24 - 16:57:03,10,404,33807,32160,16823,25.1442,61.0193
17/10/24 - 16:57:04,7,400,33803,32165,16818,25.1308,61.0178
17/10/24 - 16:57:05,8,400,33818,32164,16821,25.1015,60.9995
17/10/24 - 16:57:06,11,400,33819,32164,16823,25.1869,60.9323
17/10/24 - 16:57:07,12,400,33802,32162,16813,25.1308,60.9445
17/10/24 - 16:57:09,7,400,33791,32149,16811,25.1308,60.9033
17/10/24 - 16:57:10,11,400,33791,32150,16818,25.1015,60.827
17/10/24 - 16:57:11,8,400,33802,32161,16819,25.1015,60.8576
17/10/24 - 16:57:12,6,400,33815,32157,16820,25.1015,60.795
17/10/24 - 16:57:13,7,400,33814,32153,16819,25.1175,60.7568
17/10/24 - 16:57:14,5,400,33815,32163,16816,25.1175,60.7568
17/10/24 - 16:57:15,8,400,33827,32149,16811,25.0614,60.7477
17/10/24 - 16:57:16,10,400,33826,32161,16811,25.1175,60.8179
17/10/24 - 16:57:17,2,400,33823,32153,16816,25.032,60.7813
17/10/24 - 16:57:19,6,400,33810,32149,16809,25.1015,60.8362
17/10/24 - 16:57:20,10,400,33819,32157,16811,25.0881,60.8545
17/10/24 - 16:57:21,5,400,33823,32158,16810,25.0881,60.8545
17/10/24 - 16:57:22,9,400,33822,32157,16810,25.0881,60.8942
17/10/24 - 16:57:23,6,400,33823,32144,16818,25.0454,60.8362
17/10/24 - 16:57:24,4,400,33822,32153,16813,25.0881,60.8942
17/10/24 - 16:57:25,7,400,33827,32150,16811,25.0454,60.8362
17/10/24 - 16:57:26,6,400,33823,32156,16811,25.0748,60.882
17/10/24 - 16:57:27,5,400,33838,32156,16810,25.0748,60.9232
17/10/24 - 16:57:29,8,400,33831,32155,16801,25.0614,60.9308
17/10/24 - 16:57:30,7,400,33830,32163,16807,25.1175,60.8911
17/10/24 - 16:57:31,6,400,33823,32152,16811,25.1175,60.9216
17/10/24 - 16:57:32,9,400,33831,32158,16811,25.0881,60.9049
17/10/24 - 16:57:33,13,400,33834,32150,16813,25.1175,60.9323
17/10/24 - 16:57:34,3,400,33823,32157,16809,25.1308,60.8621
17/10/24 - 16:57:35,4,400,33842,32154,16802,25.1575,60.8866
17/10/24 - 16:57:36,3,400,33843,32160,16803,25.1175,60.8591
17/10/24 - 16:57:37,5,400,33831,32146,16798,25.1015,60.9079
17/10/24 - 16:57:39,9,400,33826,32140,16804,25.0881,60.9262
17/10/24 - 16:57:40,8,400,33823,32136,16799,25.1442,60.8957
17/10/24 - 16:57:41,6,400,33818,32139,16801,25.1175,60.9415
17/10/24 - 16:57:42,5,400,33827,32141,16801,25.1442,60.885
17/10/24 - 16:57:43,4,400,33819,32140,16804,25.1175,60.8804
17/10/24 - 16:57:44,5,400,33814,32136,16799,25.1175,60.8499
17/10/24 - 16:57:45,5,400,33819,32160,16795,25.1869,60.9323
17/10/24 - 16:57:46,1,400,33826,32143,16793,25.1736,60.9308
17/10/24 - 16:57:47,4,400,33819,32146,16799,25.1442,60.9049
17/10/24 - 16:57:49,0,400,33815,32145,16801,25.1308,60.8621
17/10/24 - 16:57:50,5,402,33814,32138,16801,25.1575,60.8774
17/10/24 - 16:57:51,0,400,33811,32130,16801,25.1175,60.9003
17/10/24 - 16:57:52,6,400,33810,32137,16801,25.1575,60.8866
17/10/24 - 16:57:53,0,400,33807,32132,16792,25.1308,60.8408
17/10/24 - 16:57:54,9,400,33803,32141,16791,25.1175,60.8087
17/10/24 - 16:57:55,6,400,33806,32140,16790,25.1442,60.8133
17/10/24 - 16:57:56,9,400,33807,32136,16792,25.1736,60.8392
17/10/24 - 16:57:57,1,400,33802,32132,16794,25.1575,60.8164
17/10/24 - 16:57:58,3,400,33799,32137,16786,25.1015,60.795
17/10/24 - 16:58:00,3,400,33811,32136,16783,25.0881,60.8133
17/10/24 - 16:58:01,5,400,33814,32143,16791,25.0748,60.7797
17/10/24 - 16:58:02,5,400,33831,32148,16788,25.1175,60.8301
17/10/24 - 16:58:03,3,400,33822,32155,16797,25.1442,60.8347
17/10/24 - 16:58:04,4,400,33823,32149,16792,25.1575,60.8774
17/10/24 - 16:58:05,6,400,33819,32144,16792,25.1442,60.9369
17/10/24 - 16:58:06,3,400,33826,32149,16796,25.1442,60.8759
17/10/24 - 16:58:07,3,400,33815,32148,16784,25.1736,60.827
17/10/24 - 16:58:08,3,400,33842,32145,16795,25.1575,60.8576
17/10/24 - 16:58:10,4,400,33823,32147,16787,25.1015,60.7858
17/10/24 - 16:58:11,3,400,33819,32153,16792,25.1736,60.8072
17/10/24 - 16:58:12,6,400,33818,32141,16786,25.1308,60.7706
17/10/24 - 16:58:13,1,400,33827,32154,16790,25.1442,60.679
17/10/24 - 16:58:14,4,400,33822,32152,16782,25.1442,60.6485
17/10/24 - 16:58:15,3,400,33835,32149,16794,25.1175,60.6531
17/10/24 - 16:58:16,2,400,33827,32162,16783,25.1175,60.6943
17/10/24 - 16:58:17,6,400,33838,32155,16781,25.1442,60.6073
17/10/24 - 16:58:18,7,400,33827,32160,16790,25.1869,60.6851
17/10/24 - 16:58:20,9,400,33806,32152,16786,25.1736,60.6531
17/10/24 - 16:58:21,5,400,33807,32153,16784,25.1736,60.6241
17/10/24 - 16:58:22,2,400,33807,32144,16790,25.1308,60.6668
17/10/24 - 16:58:23,10,400,33806,32166,16789,25.1175,60.6744
17/10/24 - 16:58:24,5,400,33811,32141,16778,25.1575,60.7126
17/10/24 - 16:58:25,3,400,33802,32154,16788,25.1175,60.6531
17/10/24 - 16:58:26,4,400,33811,32152,16786,25.0881,60.7111
17/10/24 - 16:58:27,10,400,33819,32134,16780,25.1308,60.7172
17/10/24 - 16:58:28,11,400,33814,32155,16779,25.1442,60.6989
17/10/24 - 16:58:30,6,400,33827,32150,16778,25.1736,60.7156
17/10/24 - 16:58:31,8,400,33818,32160,16779,25.1736,60.7767
17/10/24 - 16:58:32,10,400,33811,32156,16780,25.1736,60.7446
17/10/24 - 16:58:33,6,400,33803,32152,16776,25.1736,60.798
17/10/24 - 16:58:34,6,400,33806,32156,16776,25.1175,60.7568
17/10/24 - 16:58:35,5,400,33819,32150,16780,25.1442,60.7401
17/10/24 - 16:58:36,8,400,33810,32150,16774,25.1308,60.8316
17/10/24 - 16:58:37,7,400,33815,32136,16776,25.1442,60.7813
17/10/24 - 16:58:38,6,400,33823,32149,16778,25.1175,60.7568
17/10/24 - 16:58:40,2,400,33822,32146,16780,25.0881,60.8026
17/10/24 - 16:58:41,10,400,33823,32153,16774,25.1869,60.7385
17/10/24 - 16:58:42,12,400,33826,32157,16784,25.0748,60.7797
17/10/24 - 16:58:43,7,400,33823,32153,16782,25.1575,60.734
17/10/24 - 16:58:44,9,400,33827,32144,16783,25.1575,60.8453
17/10/24 - 16:58:45,13,404,33814,32160,16772,25.1442,60.8026
17/10/24 - 16:58:46,13,400,33815,32156,16775,25.1308,60.7904
17/10/24 - 16:58:47,11,400,33802,32163,16772,25.1308,60.7706
17/10/24 - 16:58:48,8,400,33799,32163,16770,25.1308,60.7996
17/10/24 - 16:58:49,10,400,33799,32164,16777,25.1736,60.766
17/10/24 - 16:58:51,8,400,33806,32148,16770,25.2003,60.7706
17/10/24 - 16:58:52,14,400,33799,32157,16774,25.1869,60.7996
17/10/24 - 16:58:53,10,400,33802,32146,16775,25.1575,60.7538
17/10/24 - 16:58:54,9,400,33815,32160,16771,25.1869,60.7996
17/10/24 - 16:58:55,11,400,33811,32161,16773,25.1736,60.6943
17/10/24 - 16:58:56,12,400,33806,32161,16772,25.1308,60.7294
17/10/24 - 16:58:57,6,400,33795,32160,16773,25.1736,60.8179
17/10/24 - 16:58:58,10,400,33810,32158,16774,25.1575,60.795
17/10/24 - 16:58:59,10,400,33819,32163,16774,25.1575,60.7431
17/10/24 - 16:59:01,12,400,33827,32164,16777,25.1442,60.8133
17/10/24 - 16:59:02,8,400,33826,32165,16770,25.2003,60.7202
17/10/24 - 16:59:03,6,400,33815,32163,16771,25.1575,60.8362
17/10/24 - 16:59:04,11,400,33818,32164,16774,25.1442,60.8347
17/10/24 - 16:59:05,6,400,33815,32160,16768,25.1575,60.8576
17/10/24 - 16:59:06,4,400,33811,32165,16762,25.1308,60.8118
17/10/24 - 16:59:07,13,400,33810,32171,16760,25.1442,60.8133
17/10/24 - 16:59:08,15,400,33815,32158,16763,25.1175,60.7767
17/10/24 - 16:59:09,13,400,33830,32165,16777,25.1575,60.7752
17/10/24 - 16:59:11,11,400,33815,32171,16774,25.1575,60.763
17/10/24 - 16:59:12,10,400,33807,32167,16762,25.2003,60.7401
17/10/24 - 16:59:13,11,400,33790,32148,16758,25.1736,60.766
17/10/24 - 16:59:14,11,401,33799,32147,16757,25.1869,60.7263
17/10/24 - 16:59:15,10,400,33806,32149,16765,25.1575,60.8164
17/10/24 - 16:59:16,10,400,33799,32146,16763,25.2003,60.7813
17/10/24 - 16:59:17,16,400,33799,32149,16765,25.243,60.7904
17/10/24 - 16:59:18,8,400,33822,32164,16770,25.2163,60.8164
17/10/24 - 16:59:19,11,400,33827,32147,16762,25.2163,60.795
17/10/24 - 16:59:21,9,400,33822,32155,16760,25.2003,60.7904
17/10/24 - 16:59:22,10,400,33803,32156,16759,25.1869,60.7675
17/10/24 - 16:59:23,10,400,33803,32146,16765,25.2163,60.7248
17/10/24 - 16:59:24,11,400,33794,32153,16766,25.1442,60.7309
17/10/24 - 16:59:25,7,400,33803,32158,16763,25.1736,60.7355
17/10/24 - 16:59:26,9,401,33806,32157,16769,25.1736,60.7355
17/10/24 - 16:59:27,8,400,33787,32161,16760,25.1869,60.6348
17/10/24 - 16:59:28,10,400,33799,32162,16766,25.2296,60.6943
17/10/24 - 16:59:29,8,402,33802,32158,16766,25.2296,60.6943
17/10/24 - 16:59:31,6,400,33803,32143,16760,25.1869,60.647
17/10/24 - 16:59:32,5,400,33794,32154,16756,25.2003,60.6699
17/10/24 - 16:59:33,11,400,33807,32147,16754,25.2003,60.6073
17/10/24 - 16:59:34,8,400,33795,32145,16761,25.2003,60.6577
17/10/24 - 16:59:35,13,403,33818,32160,16747,25.1869,60.6256
17/10/24 - 16:59:36,5,400,33811,32146,16759,25.2296,60.6241
17/10/24 - 16:59:37,1,400,33810,32152,16763,25.2163,60.5798
17/10/24 - 16:59:38,8,400,33811,32156,16756,25.1736,60.6333
17/10/24 - 16:59:39,7,400,33831,32147,16768,25.2003,60.557
17/10/24 - 16:59:40,0,400,33826,32155,16756,25.2163,60.5798
17/10/24 - 16:59:42,10,400,33811,32162,16762,25.2163,60.6012
17/10/24 - 16:59:43,6,400,33818,32154,16758,25.2163,60.6012
17/10/24 - 16:59:44,11,400,33819,32169,16756,25.1869,60.5432
17/10/24 - 16:59:45,6,400,33815,32155,16757,25.1736,60.6241
