Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:47:46,10,410,33899,32399,17707,24.6796,62.1347
17/10/24 - 16:47:47,9,409,33906,32396,17694,24.7196,62.0584
17/10/24 - 16:47:48,19,417,33919,32406,17686,24.7196,62.0584
17/10/24 - 16:47:49,12,413,33915,32402,17676,24.6929,62.0127
17/10/24 - 16:47:50,8,415,33906,32386,17668,24.7356,62.0218
17/10/24 - 16:47:51,14,415,33923,32399,17665,24.7196,62.0172
17/10/24 - 16:47:52,13,411,33918,32393,17657,24.7196,62.0294
17/10/24 - 16:47:53,11,413,33923,32386,17636,24.7356,61.9806
17/10/24 - 16:47:54,13,421,33911,32391,17627,24.6796,62.0523
17/10/24 - 16:47:56,12,414,33906,32382,17636,24.6796,62.002
17/10/24 - 16:47:57,21,420,33903,32390,17618,24.7623,61.9852
17/10/24 - 16:47:58,10,417,33890,32398,17614,24.7356,61.9806
17/10/24 - 16:47:59,14,417,33891,32401,17596,24.7196,61.9883
17/10/24 - 16:48:00,13,412,33887,32387,17597,24.7623,61.9852
17/10/24 - 16:48:01,13,416,33882,32393,17583,24.7356,61.8891
17/10/24 - 16:48:02,16,422,33883,32398,17584,24.749,61.9013
17/10/24 - 16:48:03,11,412,33886,32403,17571,24.7757,61.8647
17/10/24 - 16:48:04,16,410,33907,32389,17566,24.7623,61.8936
17/10/24 - 16:48:06,15,411,33907,32392,17560,24.7623,61.8418
17/10/24 - 16:48:07,19,408,33910,32389,17551,24.7623,61.8936
17/10/24 - 16:48:08,22,418,33903,32395,17547,24.7757,61.8341
17/10/24 - 16:48:09,13,417,33894,32387,17535,24.8184,61.8524
17/10/24 - 16:48:10,21,424,33887,32391,17533,24.7623,61.7594
17/10/24 - 16:48:11,15,421,33887,32386,17531,24.8184,61.8112
17/10/24 - 16:48:12,10,416,33890,32393,17514,24.8184,61.8738
17/10/24 - 16:48:13,17,421,33859,32387,17512,24.7917,61.8692
17/10/24 - 16:48:14,15,417,33878,32382,17501,24.8478,61.8891
17/10/24 - 16:48:15,17,420,33879,32375,17501,24.8184,61.7914
17/10/24 - 16:48:17,18,425,33883,32375,17491,24.8184,61.8021
17/10/24 - 16:48:18,18,422,33886,32364,17482,24.8051,61.8006
17/10/24 - 16:48:19,19,423,33891,32377,17473,24.8051,61.7884
17/10/24 - 16:48:20,15,410,33870,32366,17468,24.8184,61.6785
17/10/24 - 16:48:21,21,423,33867,32364,17461,24.8745,61.77
17/10/24 - 16:48:22,17,428,33855,32366,17459,24.8318,61.7227
17/10/24 - 16:48:23,21,428,33862,32364,17455,24.8478,61.7044
17/10/24 - 16:48:24,18,420,33867,32362,17447,24.8478,61.7746
17/10/24 - 16:48:25,23,432,33858,32360,17442,24.8878,61.7014
17/10/24 - 16:48:27,19,425,33879,32367,17431,24.8878,61.6403
17/10/24 - 16:48:28,25,431,33891,32356,17433,24.8611,61.6358
17/10/24 - 16:48:29,24,421,33878,32364,17425,24.8878,61.651
17/10/24 - 16:48:30,21,426,33871,32356,17425,24.9039,61.622
17/10/24 - 16:48:31,19,422,33858,32354,17419,24.8745,61.5961
17/10/24 - 16:48:32,19,433,33867,32360,17407,24.8051,61.6648
17/10/24 - 16:48:33,22,426,33875,32352,17404,24.8745,61.5671
17/10/24 - 16:48:34,26,426,33846,32354,17402,24.8878,61.5991
17/10/24 - 16:48:35,23,418,33859,32352,17398,24.8878,61.5686
17/10/24 - 16:48:37,19,429,33866,32351,17397,24.8611,61.5442
17/10/24 - 16:48:38,28,428,33879,32349,17389,24.9039,61.5808
17/10/24 - 16:48:39,20,422,33891,32346,17383,24.8745,61.6175
17/10/24 - 16:48:40,27,436,33898,32351,17369,24.8745,61.5137
17/10/24 - 16:48:41,22,419,33891,32345,17374,24.9039,61.5503
17/10/24 - 16:48:42,21,428,33886,32342,17368,24.8745,61.6083
17/10/24 - 16:48:43,20,422,33871,32340,17365,24.8611,61.503
17/10/24 - 16:48:44,25,418,33871,32345,17359,24.8878,61.5488
17/10/24 - 16:48:45,23,430,33874,32342,17359,24.9039,61.5503
17/10/24 - 16:48:47,21,433,33863,32338,17354,24.8878,61.5167
17/10/24 - 16:48:48,19,422,33886,32332,17355,24.9172,61.5824
17/10/24 - 16:48:49,23,432,33875,32331,17341,24.8745,61.4527
17/10/24 - 16:48:50,21,420,33879,32336,17339,24.9172,61.4298
17/10/24 - 16:48:51,22,427,33886,32327,17335,24.9172,61.4389
17/10/24 - 16:48:52,21,430,33887,32329,17327,24.9466,61.4252
17/10/24 - 16:48:53,24,433,33866,32332,17327,24.8878,61.4343
17/10/24 - 16:48:54,25,441,33875,32347,17320,24.9172,61.3977
17/10/24 - 16:48:55,19,431,33903,32330,17322,24.9172,61.4389
17/10/24 - 16:48:57,26,436,33906,32342,17314,24.9172,61.3764
17/10/24 - 16:48:58,14,417,33903,32328,17312,24.9466,61.384
17/10/24 - 16:48:59,23,434,33906,32327,17308,24.9733,61.3886
17/10/24 - 16:49:00,20,427,33903,32324,17294,24.9466,61.384
17/10/24 - 16:49:01,20,416,33899,32339,17304,24.9172,61.3672
17/10/24 - 16:49:02,22,422,33890,32332,17297,24.9039,61.3657
17/10/24 - 16:49:03,22,422,33883,32331,17290,24.8878,61.3306
17/10/24 - 16:49:04,18,428,33878,32339,17291,24.9172,61.3352
17/10/24 - 16:49:06,24,422,33867,32332,17276,24.8878,61.3718
17/10/24 - 16:49:07,26,432,33871,32330,17277,24.8878,61.3626
17/10/24 - 16:49:08,22,423,33882,32316,17277,24.9039,61.3657
17/10/24 - 16:49:09,23,424,33879,32338,17267,24.8318,61.4038
17/10/24 - 16:49:11,14,413,33878,32334,17268,24.9039,61.3947
17/10/24 - 16:49:12,20,424,33883,32332,17261,24.8745,61.4313
17/10/24 - 16:49:13,21,424,33875,32331,17258,24.9039,61.3535
17/10/24 - 16:49:14,22,421,33882,32320,17252,24.9306,61.3901
17/10/24 - 16:49:15,16,420,33867,32325,17253,24.9466,61.4252
17/10/24 - 16:49:16,25,419,33874,32321,17253,24.9172,61.3977
17/10/24 - 16:49:17,27,424,33867,32318,17242,24.9172,61.3764
17/10/24 - 16:49:18,18,410,33867,32319,17236,24.9039,61.4069
17/10/24 - 16:49:19,26,413,33862,32307,17250,24.9466,61.3626
17/10/24 - 16:49:21,26,414,33883,32313,17237,24.9306,61.3397
17/10/24 - 16:49:22,21,410,33878,32325,17231,24.9039,61.3855
17/10/24 - 16:49:23,23,417,33867,32312,17229,24.9466,61.416
17/10/24 - 16:49:24,26,422,33875,32319,17224,24.9172,61.3764
17/10/24 - 16:49:25,21,422,33862,32314,17221,24.9172,61.3474
17/10/24 - 16:49:26,16,420,33863,32311,17227,24.9306,61.4405
17/10/24 - 16:49:27,25,421,33862,32323,17208,24.9866,61.4847
17/10/24 - 16:49:28,15,410,33871,32324,17215,24.9599,61.5213
17/10/24 - 16:49:29,32,420,33887,32327,17214,24.9733,61.4298
17/10/24 - 16:49:31,22,414,33890,32323,17202,24.9172,61.3977
17/10/24 - 16:49:32,30,422,33911,32320,17205,24.9039,61.4359
17/10/24 - 16:49:33,29,417,33882,32319,17208,24.9466,61.3336
17/10/24 - 16:49:34,24,417,33875,32310,17204,24.9599,61.3565
17/10/24 - 16:49:35,21,417,33891,32319,17207,24.9466,61.2711
17/10/24 - 16:49:36,17,419,33882,32319,17194,24.8745,61.2467
17/10/24 - 16:49:37,20,415,33883,32312,17196,24.9306,61.2894
17/10/24 - 16:49:38,25,423,33878,32319,17197,24.9466,61.3428
17/10/24 - 16:49:39,22,415,33875,32318,17186,24.9039,61.2741
17/10/24 - 16:49:41,23,426,33887,32299,17193,24.9306,61.2894
