[2024-10-29 08:50:28] Initializing SHT35 on channel 3...
[2024-10-29 08:50:28] Initializing SGP30 on channel 2...
[2024-10-29 08:51:05] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:06] Temperature: 12.847334 °C, Humidity: 71.061264 %
[2024-10-29 08:51:06] SGP30 tVOC: 0 ppb, CO2eq: 409 ppm
[2024-10-29 08:51:07] Temperature: 12.860685 °C, Humidity: 71.007858 %
[2024-10-29 08:51:07] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:08] Temperature: 12.817960 °C, Humidity: 71.038376 %
[2024-10-29 08:51:08] SGP30 tVOC: 0 ppb, CO2eq: 416 ppm
[2024-10-29 08:51:09] Temperature: 12.874037 °C, Humidity: 71.010910 %
[2024-10-29 08:51:09] SGP30 tVOC: 0 ppb, CO2eq: 401 ppm
[2024-10-29 08:51:10] Temperature: 12.860685 °C, Humidity: 71.102463 %
[2024-10-29 08:51:10] SGP30 tVOC: 0 ppb, CO2eq: 407 ppm
[2024-10-29 08:51:11] Temperature: 12.860685 °C, Humidity: 71.102463 %
[2024-10-29 08:51:11] SGP30 tVOC: 0 ppb, CO2eq: 405 ppm
[2024-10-29 08:51:12] Temperature: 12.847334 °C, Humidity: 71.042953 %
[2024-10-29 08:51:12] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:13] Temperature: 12.847334 °C, Humidity: 71.042953 %
[2024-10-29 08:51:13] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 08:51:14] Temperature: 12.890059 °C, Humidity: 71.024643 %
[2024-10-29 08:51:14] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 08:51:15] Temperature: 12.847334 °C, Humidity: 70.997177 %
[2024-10-29 08:51:15] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:16] Temperature: 12.817960 °C, Humidity: 71.001755 %
[2024-10-29 08:51:17] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 08:51:18] Temperature: 12.916762 °C, Humidity: 71.047531 %
[2024-10-29 08:51:18] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:19] Temperature: 12.833982 °C, Humidity: 71.039902 %
[2024-10-29 08:51:19] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:20] Temperature: 12.817960 °C, Humidity: 71.020065 %
[2024-10-29 08:51:20] SGP30 tVOC: 3 ppb, CO2eq: 412 ppm
[2024-10-29 08:51:21] Temperature: 12.903410 °C, Humidity: 71.044479 %
[2024-10-29 08:51:21] SGP30 tVOC: 2 ppb, CO2eq: 413 ppm
[2024-10-29 08:51:22] Temperature: 12.874037 °C, Humidity: 71.039902 %
[2024-10-29 08:51:22] SGP30 tVOC: 0 ppb, CO2eq: 410 ppm
[2024-10-29 08:51:23] Temperature: 12.890059 °C, Humidity: 71.012436 %
[2024-10-29 08:51:23] SGP30 tVOC: 0 ppb, CO2eq: 412 ppm
[2024-10-29 08:51:24] Temperature: 12.847334 °C, Humidity: 70.988022 %
[2024-10-29 08:51:24] SGP30 tVOC: 2 ppb, CO2eq: 410 ppm
[2024-10-29 08:51:25] Temperature: 12.860685 °C, Humidity: 70.989548 %
[2024-10-29 08:51:25] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:26] Temperature: 12.903410 °C, Humidity: 70.989548 %
[2024-10-29 08:51:26] SGP30 tVOC: 0 ppb, CO2eq: 410 ppm
[2024-10-29 08:51:27] Temperature: 12.874037 °C, Humidity: 71.001755 %
[2024-10-29 08:51:27] SGP30 tVOC: 0 ppb, CO2eq: 409 ppm
[2024-10-29 08:51:28] Temperature: 12.890059 °C, Humidity: 70.975815 %
[2024-10-29 08:51:28] SGP30 tVOC: 0 ppb, CO2eq: 406 ppm
[2024-10-29 08:51:29] Temperature: 12.916762 °C, Humidity: 71.010910 %
[2024-10-29 08:51:29] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:30] Temperature: 12.860685 °C, Humidity: 71.007858 %
[2024-10-29 08:51:30] SGP30 tVOC: 0 ppb, CO2eq: 403 ppm
[2024-10-29 08:51:31] Temperature: 12.890059 °C, Humidity: 70.948349 %
[2024-10-29 08:51:31] SGP30 tVOC: 2 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:32] Temperature: 12.890059 °C, Humidity: 70.975815 %
[2024-10-29 08:51:32] SGP30 tVOC: 0 ppb, CO2eq: 406 ppm
[2024-10-29 08:51:33] Temperature: 12.890059 °C, Humidity: 71.006332 %
[2024-10-29 08:51:33] SGP30 tVOC: 4 ppb, CO2eq: 400 ppm
[2024-10-29 08:51:34] Temperature: 12.916762 °C, Humidity: 71.010910 %
[2024-10-29 08:51:34] SGP30 tVOC: 0 ppb, CO2eq: 405 ppm
[2024-10-29 08:51:35] Temperature: 12.903410 °C, Humidity: 71.017014 %
[2024-10-29 08:51:35] SGP30 tVOC: 3 ppb, CO2eq: 408 ppm
[2024-10-29 08:51:36] Temperature: 12.890059 °C, Humidity: 71.012436 %
[2024-10-29 08:51:36] SGP30 tVOC: 0 ppb, CO2eq: 407 ppm
