[2024-10-29 10:42:15] Program started.
[2024-10-29 10:42:15] Initializing SHT35 on channel 3...
[2024-10-29 10:42:15] Initializing SGP30 on channel 2...
[2024-10-29 10:42:15] Inceptive baseline set: TVOC = 36678
[2024-10-29 10:42:15] No baseline file found, skipping baseline setting.
[2024-10-29 10:42:51] SGP30 tVOC: 0 ppb, CO2eq: 403 ppm
[2024-10-29 10:42:52] Temperature: 13.990234 °C, Humidity: 84.287788 %
[2024-10-29 10:42:52] SGP30 tVOC: 0 ppb, CO2eq: 403 ppm
[2024-10-29 10:42:53] Temperature: 14.019608 °C, Humidity: 84.324409 %
[2024-10-29 10:42:53] SGP30 tVOC: 0 ppb, CO2eq: 404 ppm
[2024-10-29 10:42:54] Temperature: 14.019608 °C, Humidity: 84.324409 %
[2024-10-29 10:42:54] SGP30 tVOC: 0 ppb, CO2eq: 408 ppm
[2024-10-29 10:42:55] Temperature: 14.019608 °C, Humidity: 84.312202 %
[2024-10-29 10:42:55] SGP30 tVOC: 0 ppb, CO2eq: 403 ppm
[2024-10-29 10:42:56] Temperature: 14.003586 °C, Humidity: 84.338142 %
[2024-10-29 10:42:56] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:57] Temperature: 14.003586 °C, Humidity: 84.310677 %
[2024-10-29 10:42:57] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:58] Temperature: 13.990234 °C, Humidity: 84.324409 %
[2024-10-29 10:42:58] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:59] Temperature: 14.019608 °C, Humidity: 84.324409 %
[2024-10-29 10:42:59] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 10:43:00] Temperature: 14.062333 °C, Humidity: 84.266426 %
[2024-10-29 10:43:00] SGP30 tVOC: 2 ppb, CO2eq: 412 ppm
[2024-10-29 10:43:01] Temperature: 14.046311 °C, Humidity: 84.347298 %
[2024-10-29 10:43:01] SGP30 tVOC: 0 ppb, CO2eq: 406 ppm
[2024-10-29 10:43:02] Temperature: 14.003586 °C, Humidity: 84.252693 %
[2024-10-29 10:43:02] SGP30 tVOC: 6 ppb, CO2eq: 410 ppm
[2024-10-29 10:43:03] Temperature: 14.003586 °C, Humidity: 84.252693 %
[2024-10-29 10:43:03] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:43:04] Temperature: 14.062333 °C, Humidity: 84.321358 %
[2024-10-29 10:43:04] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:43:05] Temperature: 14.075685 °C, Humidity: 84.296944 %
[2024-10-29 10:43:05] SGP30 tVOC: 0 ppb, CO2eq: 408 ppm
[2024-10-29 10:43:06] Temperature: 14.003586 °C, Humidity: 84.234375 %
[2024-10-29 10:43:06] SGP30 tVOC: 1 ppb, CO2eq: 406 ppm
[2024-10-29 10:43:07] Temperature: 14.062333 °C, Humidity: 84.293892 %
[2024-10-29 10:43:07] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 10:43:08] Temperature: 14.046311 °C, Humidity: 84.246582 %
[2024-10-29 10:43:08] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:43:09] Temperature: 14.062333 °C, Humidity: 84.275581 %
[2024-10-29 10:43:09] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:43:10] Temperature: 14.032960 °C, Humidity: 84.232849 %
[2024-10-29 10:43:10] SGP30 tVOC: 0 ppb, CO2eq: 410 ppm
[2024-10-29 10:43:11] Temperature: 14.046311 °C, Humidity: 84.206909 %
[2024-10-29 10:43:11] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 10:43:12] Temperature: 14.032960 °C, Humidity: 84.251167 %
[2024-10-29 10:43:12] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:43:13] Temperature: 14.075685 °C, Humidity: 84.223694 %
[2024-10-29 10:43:13] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
