Timestamp	SGP30_tVOC_ppb	SGP30_CO2eq_ppm	SGP30_H2_raw	SGP30_Ethanol_raw	SGP30_H2	SGP30_Ethanol	SGP40_SRAW_VOC	SGP41_SRAW_VOC	SGP41_SRAW_NOX	sgp40_voc_index	sgp41_voc_index	Temperature_C	Humidity_%	FS3000_Velocity_m/s
10/12/24 - 09:41:38	2	418	55188	30422	1,03E-36	2,92E-11	33003	32664	16582	14	28	15,4429	45,8152	0
10/12/24 - 09:41:40	0	410	55188	30422	1,03E-36	2,92E-11	33003	32684	16582	15	29	15,4429	45,7465	0
10/12/24 - 09:41:41	5	423	55188	30422	1,03E-36	2,92E-11	33022	32684	16586	15	29	15,4295	45,7069	0
10/12/24 - 09:41:42	6	422	55188	30422	1,03E-36	2,92E-11	33019	32689	16585	15	30	15,4162	45,7527	0
10/12/24 - 09:41:43	0	414	55188	30422	1,03E-36	2,92E-11	33022	32685	16581	16	30	15,4723	45,6336	0
10/12/24 - 09:41:44	2	401	55188	30422	1,03E-36	2,92E-11	33019	32705	16581	16	31	15,499	45,6001	0
10/12/24 - 09:41:45	7	420	55188	30422	1,03E-36	2,92E-11	33019	32703	16590	17	31	15,499	45,5772	0
10/12/24 - 09:41:46	4	418	55188	30422	1,03E-36	2,92E-11	33030	32722	16593	17	32	15,499	45,4627	0
10/12/24 - 09:41:47	0	408	55188	30422	1,03E-36	2,92E-11	33039	32728	16584	18	32	15,515	45,6016	0
10/12/24 - 09:41:49	4	402	55188	30422	1,03E-36	2,92E-11	33054	32727	16592	18	33	15,499	45,4856	0
10/12/24 - 09:41:50	1	400	55188	30422	1,03E-36	2,92E-11	33071	32750	16596	19	33	15,515	45,362	0
10/12/24 - 09:41:51	4	400	55188	30422	1,03E-36	2,92E-11	33083	32751	16593	19	33	15,5283	45,4551	0
10/12/24 - 09:41:52	6	410	55188	30422	1,03E-36	2,92E-11	33102	32767	16592	20	34	15,515	45,4414	0
10/12/24 - 09:41:53	2	407	55188	30422	1,03E-36	2,92E-11	33103	32758	16599	20	34	15,555	45,3071	0
10/12/24 - 09:41:54	5	408	55188	30422	1,03E-36	2,92E-11	33110	32777	16593	21	35	15,5711	45,2628	0
10/12/24 - 09:41:55	6	402	55188	30422	1,03E-36	2,92E-11	33127	32785	16594	21	35	15,6138	45,2659	0
10/12/24 - 09:41:56	9	414	55188	30422	1,03E-36	2,92E-11	33139	32793	16590	21	35	15,6405	45,2125	0
10/12/24 - 09:41:58	0	400	55188	30422	1,03E-36	2,92E-11	33146	32803	16594	22	36	15,6138	45,1743	0
10/12/24 - 09:41:59	4	414	55188	30422	1,03E-36	2,92E-11	33159	32804	16600	22	36	15,6405	45,1759	0
10/12/24 - 09:42:00	2	410	55188	30422	1,03E-36	2,92E-11	33162	32812	16596	23	36	15,6405	45,153	0
10/12/24 - 09:42:01	6	426	55188	30422	1,03E-36	2,92E-11	33163	32820	16591	23	37	15,6832	45,1118	0
10/12/24 - 09:42:02	0	418	55188	30422	1,03E-36	2,92E-11	33175	32803	16588	24	37	15,6966	45,1377	0
10/12/24 - 09:42:03	6	418	55188	30422	1,03E-36	2,92E-11	33190	32812	16595	24	38	15,6966	45,069	0
10/12/24 - 09:42:04	8	427	55188	30422	1,03E-36	2,92E-11	33187	32810	16601	25	38	15,6966	45,0919	0
10/12/24 - 09:42:05	10	427	55188	30422	1,03E-36	2,92E-11	33206	32810	16592	25	39	15,6832	45,0431	0
10/12/24 - 09:42:07	1	422	55188	30422	1,03E-36	2,92E-11	33207	32799	16595	25	40	15,7527	45,005	0
10/12/24 - 09:42:08	1	405	55188	30422	1,03E-36	2,92E-11	33207	32799	16599	26	41	15,798	44,9287	0
10/12/24 - 09:42:09	1	410	55188	30422	1,03E-36	2,92E-11	33206	32810	16601	27	42	15,7393	44,8875	0
10/12/24 - 09:42:10	0	422	55188	30422	1,03E-36	2,92E-11	33215	32828	16602	27	42	15,7393	44,8768	0
10/12/24 - 09:42:11	3	413	55188	30422	1,03E-36	2,92E-11	33206	32834	16599	28	43	15,7393	44,8875	0
10/12/24 - 09:42:12	3	415	55188	30422	1,03E-36	2,92E-11	33219	32833	16610	29	44	15,798	44,8371	0
10/12/24 - 09:42:13	3	415	55188	30422	1,03E-36	2,92E-11	33231	32846	16611	29	44	15,7393	44,7959	0
10/12/24 - 09:42:14	0	400	55188	30422	1,03E-36	2,92E-11	33234	32859	16603	30	45	15,798	44,7089	0
10/12/24 - 09:42:16	2	411	55188	30422	1,03E-36	2,92E-11	33247	32872	16602	31	45	15,798	44,7211	0
10/12/24 - 09:42:17	0	408	55188	30422	1,03E-36	2,92E-11	33254	32868	16610	31	45	15,798	44,7211	0
10/12/24 - 09:42:18	0	400	55188	30422	1,03E-36	2,92E-11	33263	32881	16610	32	46	15,8114	44,5609	0
10/12/24 - 09:42:19	0	415	55188	30422	1,03E-36	2,92E-11	33271	32887	16607	32	46	15,8114	44,6311	0
