Time,Moisture (%)
2024-12-09 13:55:53,0
2024-12-09 13:55:54,1
2024-12-09 13:55:55,1
2024-12-09 13:55:56,1
2024-12-09 13:55:57,0
2024-12-09 13:55:58,1
2024-12-09 13:55:59,1
2024-12-09 13:56:00,1
2024-12-09 13:56:01,1
2024-12-09 13:56:02,1
2024-12-09 13:56:03,0
2024-12-09 13:56:04,1
2024-12-09 13:56:05,1
2024-12-09 13:56:06,1
2024-12-09 13:56:07,1
2024-12-09 13:56:08,1
2024-12-09 13:56:09,1
2024-12-09 13:56:10,0
2024-12-09 13:56:11,1
2024-12-09 13:56:12,1
2024-12-09 13:56:13,1
2024-12-09 13:56:14,1
2024-12-09 13:56:15,1
2024-12-09 13:56:16,1
2024-12-09 13:56:17,1
2024-12-09 13:56:18,0
2024-12-09 13:56:19,1
2024-12-09 13:56:20,1
2024-12-09 13:58:54,515
2024-12-09 13:58:55,516
2024-12-09 13:58:56,516
2024-12-09 13:58:57,516
2024-12-09 13:58:58,516
2024-12-09 13:58:59,517
2024-12-09 13:59:00,516
2024-12-09 13:59:01,516
2024-12-09 13:59:02,516
2024-12-09 13:59:03,516
2024-12-09 13:59:04,517
2024-12-09 13:59:05,516
2024-12-09 13:59:06,516
2024-12-09 13:59:07,516
2024-12-09 13:59:08,516
2024-12-09 13:59:09,516
2024-12-09 13:59:10,516
2024-12-09 13:59:11,516
2024-12-09 13:59:12,516
2024-12-09 13:59:13,517
2024-12-09 13:59:14,516
2024-12-09 13:59:15,516
2024-12-09 13:59:16,516
2024-12-09 13:59:17,516
2024-12-09 13:59:18,517
2024-12-09 13:59:19,516
2024-12-09 13:59:21,516
2024-12-09 13:59:22,516
2024-12-09 13:59:23,516
2024-12-09 13:59:24,516
2024-12-09 13:59:25,516
2024-12-09 13:59:26,516
2024-12-09 13:59:27,516
2024-12-09 13:59:28,516
2024-12-09 13:59:29,516
2024-12-09 13:59:30,516
2024-12-09 13:59:31,516
2024-12-09 13:59:32,517
2024-12-09 13:59:33,516
2024-12-09 13:59:34,516
2024-12-09 13:59:35,516
2024-12-09 13:59:36,516
2024-12-09 14:00:32,513
2024-12-09 14:00:33,516
2024-12-09 14:00:34,516
2024-12-09 14:00:35,516
2024-12-09 14:00:36,516
2024-12-09 14:00:37,516
2024-12-09 14:00:38,516
2024-12-09 14:00:39,516
2024-12-09 14:00:40,516
2024-12-09 14:00:41,516
2024-12-09 14:00:42,516
2024-12-09 14:00:43,516
2024-12-09 14:00:44,516
2024-12-09 14:00:45,516
2024-12-09 14:00:46,516
2024-12-09 14:00:47,516
2024-12-09 14:00:48,516
2024-12-09 14:00:49,516
